,City,Lat,Long,Temp,Humidity,Cloudiness,Wind
109,Cidreira,-30.1811,-50.2056,74.28,84,56,14.61
110,Mataura,-46.1927,168.8643,50.88,84,100,13.42
111,Tsumeb,-19.2333,17.7167,64.54,93,100,10.56
115,Port Augusta,-32.5,137.7667,90.63,22,40,8.05
116,Mahébourg,-20.4081,57.7,78.8,78,40,14.97
119,Busselton,-33.65,115.3333,55.62,98,24,7.11
127,Pontianak,-0.0333,109.3333,75.2,94,20,3.31
129,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
130,Nsanje,-16.92,35.262,74.93,95,97,3.87
132,Port Alfred,-33.5906,26.891,73.99,93,16,9.4
138,Te Anau,-45.4167,167.7167,50.59,84,100,6.24
140,Constitución,-35.3333,-72.4167,65.01,83,22,3.29
142,Cidreira,-30.1811,-50.2056,74.28,84,56,14.61
143,Flinders,-34.5833,150.8552,73.29,75,3,1.99
144,Vaini,-21.2,-175.2,82.4,89,75,9.22
145,Mataura,-46.1927,168.8643,50.88,84,100,13.42
146,Beloha,-25.1667,45.05,71.01,82,100,8.68
148,Punta Arenas,-53.15,-70.9167,62.29,63,0,11.5
150,Lorengau,-2.0226,147.2712,78.98,85,100,14.14
154,Busselton,-33.65,115.3333,55.62,98,24,7.11
155,Hobart,-42.8794,147.3294,64.76,59,0,11.5
157,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
158,Mataura,-46.1927,168.8643,50.88,84,100,13.42
163,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
165,Mataura,-46.1927,168.8643,50.88,84,100,13.42
167,Puerto Ayora,-0.7393,-90.3518,78.3,83,75,5.75
168,Viedma,-40.8135,-62.9967,73.0,52,14,1.01
169,Santa Cruz de la Sierra,-17.8,-63.1667,69.8,83,90,8.05
171,New Norfolk,-42.7826,147.0587,64.63,46,15,4.0
172,Bredasdorp,-34.5322,20.0403,68.0,83,39,4.61
173,Busselton,-33.65,115.3333,55.62,98,24,7.11
175,Mataura,-46.1927,168.8643,50.88,84,100,13.42
177,Mataura,-46.1927,168.8643,50.88,84,100,13.42
179,Port Alfred,-33.5906,26.891,73.99,93,16,9.4
180,Bluff,-46.6,168.3333,53.82,87,100,32.82
181,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
186,Busselton,-33.65,115.3333,55.62,98,24,7.11
187,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
188,Lebu,-37.6167,-73.65,64.89,78,1,9.89
189,La Paz,-16.5,-68.15,50.0,87,75,10.36
190,Chui,-33.6971,-53.4616,70.56,85,70,11.34
192,Mount Isa,-20.7333,139.5,84.2,65,0,6.91
195,Busselton,-33.65,115.3333,55.62,98,24,7.11
196,Souillac,-20.5167,57.5167,78.8,78,40,14.97
198,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
199,Kruisfontein,-34.0033,24.7314,70.0,91,55,0.65
202,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
203,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
206,Hermanus,-34.4187,19.2345,68.0,83,2,1.99
208,Ambulu,-8.345,113.6058,75.63,87,69,3.11
210,Kaitangata,-46.2817,169.8464,57.0,59,95,15.99
211,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
212,Punta Arenas,-53.15,-70.9167,62.29,63,0,11.5
215,Avarua,-21.2078,-159.775,86.0,66,100,9.22
217,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
222,Punta Arenas,-53.15,-70.9167,62.29,63,0,11.5
223,Hobart,-42.8794,147.3294,64.76,59,0,11.5
225,Kaitangata,-46.2817,169.8464,57.0,59,95,15.99
226,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
227,Humaitá,-7.5061,-63.0208,75.09,97,100,2.19
229,Hermanus,-34.4187,19.2345,68.0,83,2,1.99
234,Faanui,-16.4833,-151.75,81.93,69,0,10.92
236,Luganville,-15.5333,167.1667,85.26,61,0,1.97
239,Mar del Plata,-38.0023,-57.5575,67.73,83,75,10.36
241,Castro,-24.7911,-50.0119,60.42,95,51,6.67
242,Mahébourg,-20.4081,57.7,78.8,78,40,14.97
246,Mount Gambier,-37.8333,140.7667,71.6,53,79,5.75
247,Tuatapere,-46.1333,167.6833,51.94,88,100,14.81
248,Bluff,-46.6,168.3333,53.82,87,100,32.82
249,Puerto Ayora,-0.7393,-90.3518,78.3,83,75,5.75
250,Coari,-4.085,-63.1414,77.36,94,100,1.07
251,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
252,Hithadhoo,-0.6,73.0833,81.3,80,47,12.17
254,Richards Bay,-28.783,32.0377,76.17,84,87,1.74
255,Mar del Plata,-38.0023,-57.5575,67.73,83,75,10.36
256,Saint-Pierre,-21.3393,55.4781,76.06,73,20,2.3
257,Geraldton,-28.7667,114.6,57.2,88,0,5.75
258,Punta Arenas,-53.15,-70.9167,62.29,63,0,11.5
261,Cidreira,-30.1811,-50.2056,74.28,84,56,14.61
262,Hobart,-42.8794,147.3294,64.76,59,0,11.5
263,Lebu,-37.6167,-73.65,64.89,78,1,9.89
264,Bredasdorp,-34.5322,20.0403,68.0,83,39,4.61
265,Santa Fe,-31.6333,-60.7,74.59,78,82,1.99
266,Hithadhoo,-0.6,73.0833,81.3,80,47,12.17
268,Punta Arenas,-53.15,-70.9167,62.29,63,0,11.5
269,Mataura,-46.1927,168.8643,50.88,84,100,13.42
270,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
271,Kavieng,-2.5744,150.7967,83.23,74,87,7.9
273,Puerto Ayora,-0.7393,-90.3518,78.3,83,75,5.75
276,Lebu,-37.6167,-73.65,64.89,78,1,9.89
277,Lorengau,-2.0226,147.2712,78.98,85,100,14.14
278,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
279,Dargaville,-35.9333,173.8833,66.38,69,98,9.53
281,Pisco,-13.7,-76.2167,75.97,78,90,5.75
282,Tuatapere,-46.1333,167.6833,51.94,88,100,14.81
284,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
285,Guayaramerín,-10.8368,-65.3614,72.46,99,100,1.45
287,Capinzal,-27.3436,-51.6119,68.59,70,99,2.75
288,Kaitangata,-46.2817,169.8464,57.0,59,95,15.99
289,Vaini,-21.2,-175.2,82.4,89,75,9.22
295,Saint-Philippe,-21.3585,55.7679,73.54,73,20,2.3
296,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
298,Castro,-24.7911,-50.0119,60.42,95,51,6.67
299,New Norfolk,-42.7826,147.0587,65.32,45,15,3.0
301,Mahébourg,-20.4081,57.7,78.8,78,40,14.97
303,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
304,Richards Bay,-28.783,32.0377,76.17,84,87,1.74
305,Kirakira,-10.4544,161.9205,84.43,71,100,6.71
306,Mossamedes,-15.1961,12.1522,73.56,72,100,2.86
311,Nhulunbuy,-12.2333,136.7667,80.6,83,40,8.05
313,Busselton,-33.65,115.3333,55.62,98,24,7.11
314,New Norfolk,-42.7826,147.0587,65.32,45,15,3.0
316,Mar del Plata,-38.0023,-57.5575,67.73,83,75,10.36
320,Wanaka,-44.7,169.15,55.29,60,93,10.13
323,Cape Town,-33.9258,18.4232,68.56,83,0,16.11
324,Chui,-33.6971,-53.4616,70.56,85,70,11.34
325,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
326,Punta Arenas,-53.15,-70.9167,62.29,63,0,11.5
327,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
331,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
334,East London,-33.0153,27.9116,75.45,89,6,10.98
337,Saldanha,-33.0117,17.9442,66.2,77,0,10.36
345,Codrington,-38.2667,141.9667,78.53,41,90,13.6
350,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
353,Pisco,-13.7,-76.2167,75.97,78,90,5.75
354,Luján,-34.5703,-59.105,75.0,71,59,1.99
356,Mataura,-46.1927,168.8643,50.88,84,100,13.42
358,Mataura,-46.1927,168.8643,50.88,84,100,13.42
359,Piranhas,-16.4269,-51.8222,74.46,81,65,1.25
360,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
361,Ahipara,-35.1667,173.1667,64.89,81,98,11.14
362,Kaitangata,-46.2817,169.8464,57.0,59,95,15.99
365,Mataura,-46.1927,168.8643,50.88,84,100,13.42
367,Atuona,-9.8,-139.0333,79.12,78,1,17.13
369,Cape Town,-33.9258,18.4232,68.56,83,0,16.11
370,Vaini,-21.2,-175.2,82.4,89,75,9.22
371,Hobart,-42.8794,147.3294,64.76,59,0,11.5
381,Ambon City,-3.6954,128.1814,77.0,88,20,6.91
383,Inhambane,-23.865,35.3833,79.0,83,43,13.73
386,Valparaíso,-33.0393,-71.6273,63.43,88,75,4.61
387,Lakes Entrance,-37.8811,147.981,71.01,74,0,1.99
389,Mataura,-46.1927,168.8643,50.88,84,100,13.42
391,Mataura,-46.1927,168.8643,50.88,84,100,13.42
394,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
395,Geraldton,-28.7667,114.6,57.2,88,0,5.75
396,Mataura,-46.1927,168.8643,50.88,84,100,13.42
401,Hithadhoo,-0.6,73.0833,81.3,80,47,12.17
402,Paratinga,-12.6906,-43.1842,73.27,85,18,2.77
403,Camapuã,-19.5314,-54.0439,77.49,63,66,5.55
404,Port Elizabeth,-33.918,25.5701,71.6,100,75,4.61
409,Busselton,-33.65,115.3333,55.62,98,24,7.11
411,Hermanus,-34.4187,19.2345,68.0,83,2,1.99
412,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
413,Avarua,-21.2078,-159.775,86.0,66,100,9.22
414,Port Alfred,-33.5906,26.891,73.99,93,16,9.4
416,Vila Velha,-20.3297,-40.2925,79.88,83,40,5.75
418,Mataura,-46.1927,168.8643,50.88,84,100,13.42
419,Cape Town,-33.9258,18.4232,68.56,83,0,16.11
421,Busselton,-33.65,115.3333,55.62,98,24,7.11
424,Mulanje,-16.0316,35.5,70.63,91,99,4.0
425,Punta Arenas,-53.15,-70.9167,62.29,63,0,11.5
427,Busselton,-33.65,115.3333,55.62,98,24,7.11
428,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
429,Souillac,-20.5167,57.5167,78.8,78,40,14.97
432,Port Elizabeth,-33.918,25.5701,71.6,100,75,4.61
433,Bluff,-46.6,168.3333,53.82,87,100,32.82
434,Lamu,-2.2717,40.902,77.59,81,52,11.59
436,Hobart,-42.8794,147.3294,64.76,59,0,11.5
437,Busselton,-33.65,115.3333,55.62,98,24,7.11
438,Mahébourg,-20.4081,57.7,78.8,78,40,14.97
439,Constitución,-35.3333,-72.4167,65.01,83,22,3.29
441,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
442,Busselton,-33.65,115.3333,55.62,98,24,7.11
