,City,Lat,Long,Temp,Humidity,Cloudiness,Wind
93,Boguchany,58.3814,97.4531,17.06,95,3,3.53
94,Yellowknife,62.456,-114.3525,-38.2,74,20,14.97
97,Vila Franca do Campo,37.7167,-25.4333,61.43,77,75,20.71
98,Fort Nelson,58.8053,-122.7002,-27.4,75,75,2.3
104,Tigil',57.8,158.6667,20.79,94,100,5.3
105,Albany,42.6001,-73.9662,13.87,76,75,1.01
108,Deputatsky,69.3,139.9,-20.6,89,99,3.11
109,Hasaki,35.7333,140.8333,35.17,44,20,10.36
110,Lázaro Cárdenas,17.9583,-102.2,68.4,84,0,5.61
111,Napanee,44.2501,-76.9494,5.0,78,75,6.91
114,Khatanga,71.9667,102.5,-20.43,82,0,14.16
115,Albany,42.6001,-73.9662,13.87,76,75,1.01
116,George Town,5.4112,100.3354,84.78,74,40,4.61
117,Rapid City,44.0805,-103.231,-7.38,71,1,3.44
119,Wagar,16.1525,36.2032,89.44,15,0,5.64
121,Saskylakh,71.9167,114.0833,-32.82,82,36,5.73
122,Olafsvik,64.8945,-23.7142,35.94,79,55,13.76
124,Jamestown,42.097,-79.2353,9.23,92,90,3.44
125,Carballo,43.213,-8.691,49.87,84,43,10.0
127,Norman Wells,65.282,-126.8329,-45.4,66,1,5.03
128,Nikolskoye,59.7035,30.7861,11.84,79,0,6.71
130,Albany,42.6001,-73.9662,13.87,76,75,1.01
131,Sotnikovo,51.8845,107.4791,-0.4,85,66,2.24
133,Bilibino,68.0546,166.4372,-3.55,73,99,6.67
135,Honningsvåg,70.9821,25.9704,24.8,86,90,31.07
139,Upernavik,72.7868,-56.1549,17.98,78,89,6.33
140,Shenjiamen,29.9576,122.298,43.93,74,75,15.26
142,Jamestown,42.097,-79.2353,9.23,92,90,3.44
143,Ketchikan,55.3422,-131.6461,25.52,68,90,4.61
144,Dikson,73.5069,80.5464,-29.54,85,90,18.21
145,Tayoltita,24.0833,-105.9333,54.12,41,87,4.9
147,San Patricio,28.017,-97.5169,62.22,94,90,8.05
149,Sahuaripa,29.05,-109.2333,50.92,47,0,2.91
150,Pervomayskiy,53.2485,40.2871,0.46,92,0,5.88
151,Ribeira Grande,38.5167,-28.7,62.6,82,75,24.16
153,Kanchanaburi,14.6333,99.1,76.08,71,75,1.14
154,Hasaki,35.7333,140.8333,35.17,44,20,10.36
155,Meulaboh,4.1363,96.1285,81.03,79,49,2.8
158,Tasiilaq,65.6145,-37.6368,23.0,54,93,13.8
159,Guerrero Negro,27.9769,-114.0611,53.01,88,0,2.59
161,Tuktoyaktuk,69.4541,-133.0374,-28.48,86,100,7.87
164,Eureka,40.8021,-124.1637,42.12,92,100,1.01
170,Riyadh,24.6877,46.7219,66.2,39,0,10.29
171,Tasiilaq,65.6145,-37.6368,23.0,54,93,13.8
174,Bethel,41.3712,-73.414,11.37,72,1,5.75
175,Russell,32.3502,-85.1999,34.38,93,1,3.44
176,Sungai Raya,0.7,108.9,78.82,84,100,9.98
177,Evensk,61.95,159.2333,11.82,90,100,28.3
178,Haines Junction,60.7522,-137.5108,-16.6,76,100,2.3
179,Chokurdakh,70.6333,147.9167,-11.24,86,5,10.36
180,Hilo,19.7297,-155.09,63.05,68,75,5.75
181,Narsaq,60.9167,-46.05,39.2,28,75,41.43
182,Vuktyl,63.8567,57.3094,-14.37,89,100,8.63
184,Sortland,68.6949,15.4162,28.72,100,40,9.22
186,Marsá Maţrūḩ,31.3525,27.2453,75.2,25,90,27.63
187,Bilma,18.6853,12.9164,85.23,11,100,11.95
188,Paamiut,61.994,-49.6678,29.35,83,1,11.92
190,Yangi Marg`ilon,40.4272,71.7189,48.2,57,75,4.61
192,Hobyo,5.3505,48.5268,80.49,66,35,21.77
196,Hilo,19.7297,-155.09,63.05,68,75,5.75
198,Jamestown,42.097,-79.2353,9.23,92,90,3.44
201,La Ronge,55.1001,-105.2842,-32.8,61,100,12.66
202,Salalah,17.0151,54.0924,78.8,65,40,11.5
204,Tuktoyaktuk,69.4541,-133.0374,-28.48,86,100,7.87
205,Albany,42.6001,-73.9662,13.87,76,75,1.01
206,Praia da Vitória,38.7333,-27.0667,63.39,72,40,17.78
207,Ponta do Sol,32.6667,-17.1,62.24,68,40,4.61
208,Kano,12.0001,8.5167,87.8,14,0,11.5
209,Ribeira Grande,38.5167,-28.7,62.6,82,75,24.16
210,Tiksi,71.6872,128.8694,-26.19,86,99,5.97
211,Yellowknife,62.456,-114.3525,-38.2,74,20,14.97
213,Butaritari,3.0707,172.7902,81.46,81,100,17.98
219,Salekhard,66.53,66.6019,-15.92,87,100,20.51
221,Pijiño del Carmen,9.3291,-74.453,79.81,73,0,3.8
222,Hilo,19.7297,-155.09,63.05,68,75,5.75
223,Gulbene,57.1777,26.7529,16.99,96,100,2.8
224,Połczyn-Zdrój,53.7642,16.0957,16.0,85,100,3.0
227,Kaeng Khoi,14.5862,100.9976,85.89,50,36,1.99
229,Klaksvík,62.2266,-6.589,35.6,64,75,19.57
230,Katsuura,35.1333,140.3,40.62,27,100,1.99
231,Dodge City,37.7528,-100.0171,9.68,79,90,16.11
232,Kjøpsvik,68.097,16.3742,31.08,86,75,4.61
234,Kapaa,22.0752,-159.319,62.26,82,40,8.05
238,Kapaa,22.0752,-159.319,62.26,82,40,8.05
239,Paamiut,61.994,-49.6678,29.35,83,1,11.92
240,Chokurdakh,70.6333,147.9167,-11.24,86,5,10.36
241,Beipiao,41.7919,120.7792,19.69,78,0,2.39
242,Thompson,55.7435,-97.8558,-25.6,62,90,13.8
244,Saint Anthony,45.0205,-93.218,-12.87,77,1,3.71
246,Hong Kong,22.2855,114.1577,65.68,77,100,1.01
247,Pevek,69.7008,170.3133,-14.06,83,0,2.66
253,Balkanabat,39.5108,54.3671,54.75,56,100,3.96
254,Jalu,29.0331,21.5482,78.31,19,100,16.67
257,Miyang,24.4042,103.4428,46.49,85,100,3.18
260,Khatanga,71.9667,102.5,-20.43,82,0,14.16
261,Albany,42.6001,-73.9662,13.87,76,75,1.01
265,Guadalupe y Calvo,26.1,-106.9667,36.18,69,0,4.38
267,Lata,40.1629,-8.3327,57.0,81,67,8.01
269,Hong Kong,22.2855,114.1577,65.68,77,100,1.01
270,Pevek,69.7008,170.3133,-14.06,83,0,2.66
271,Ayorou,14.7308,0.9174,95.4,9,100,9.31
274,George Town,5.4112,100.3354,84.78,74,40,4.61
275,Adrar,20.5022,-10.0711,74.05,19,51,12.95
281,Pacifica,37.6138,-122.4869,46.35,93,90,4.61
282,Sindor,62.8629,51.8905,-15.61,87,100,9.57
283,Saint Anthony,45.0205,-93.218,-12.87,77,1,3.71
288,Baykit,61.67,96.37,9.66,92,100,2.91
290,Provideniya,64.3833,-173.3,-0.92,83,100,22.28
291,Saskylakh,71.9167,114.0833,-32.82,82,36,5.73
292,Hilo,19.7297,-155.09,63.05,68,75,5.75
293,Musāfir-Khāna,26.3667,81.8,63.0,52,0,5.28
294,Pasni,25.2631,63.471,71.76,53,20,14.18
297,Pitkyaranta,61.5734,31.4792,13.87,95,79,9.17
298,Barrow,71.2906,-156.7887,-31.0,85,1,9.22
299,Longyearbyen,78.2186,15.6401,12.2,52,0,12.66
301,Dikson,73.5069,80.5464,-29.54,85,90,18.21
302,Puerto Escondido,15.85,-97.0667,71.6,83,1,6.91
303,Nioro,13.35,-15.75,94.35,10,2,10.02
304,Ilulissat,69.2167,-51.1,24.8,39,1,36.82
306,Kapaa,22.0752,-159.319,62.26,82,40,8.05
309,Sevsk,52.1491,34.4926,9.01,94,100,7.87
312,Sørland,67.667,12.6934,33.8,80,75,16.84
319,Liberal,37.0431,-100.921,15.8,86,90,8.05
320,Harrisonburg,38.4496,-78.8689,17.33,92,1,2.71
322,Grand Forks,47.9417,-97.4337,-21.21,76,20,3.44
324,Fortuna,40.5982,-124.1573,43.68,93,90,1.97
325,Province of Mantua,45.1667,10.7833,55.0,64,0,5.01
327,Bilma,18.6853,12.9164,85.23,11,100,11.95
329,Kapaa,22.0752,-159.319,62.26,82,40,8.05
330,Kisangani,0.5167,25.2,94.91,21,76,2.75
334,Prince Rupert,54.3161,-130.3201,28.27,74,90,5.75
335,Longyearbyen,78.2186,15.6401,12.2,52,0,12.66
338,Itoman,26.1247,127.6694,63.37,63,75,13.8
339,Kiryat Gat,31.61,34.7642,76.62,30,100,4.7
340,Khor,47.8861,134.9464,-1.61,89,100,10.96
342,Qasigiannguit,68.8193,-51.1922,24.8,39,1,36.82
343,Ust'-Kan,50.9276,84.761,30.7,89,83,11.61
344,Upernavik,72.7868,-56.1549,17.98,78,89,6.33
345,Tiksi,71.6872,128.8694,-26.19,86,99,5.97
347,Cockburn Town,21.4612,-71.1419,77.41,79,100,18.61
348,Nanortalik,60.1432,-45.2371,32.09,88,86,15.9
351,Provideniya,64.3833,-173.3,-0.92,83,100,22.28
352,Saint Paul Harbor,57.79,-152.4072,30.2,74,1,9.37
353,Hilo,19.7297,-155.09,63.05,68,75,5.75
354,Longyearbyen,78.2186,15.6401,12.2,52,0,12.66
356,Albany,42.6001,-73.9662,13.87,76,75,1.01
359,Albany,42.6001,-73.9662,13.87,76,75,1.01
360,Yangi Marg`ilon,40.4272,71.7189,48.2,57,75,4.61
362,Ségou,13.4317,-6.2157,94.06,11,1,11.39
363,Sitka,57.0531,-135.33,28.4,69,90,13.8
366,Bouca,6.5105,18.2733,99.43,8,88,7.31
367,Los Llanos de Aridane,28.6585,-17.9182,61.88,64,75,5.75
368,Yabēlo,4.8833,38.0833,77.76,31,63,8.25
370,Tiksi,71.6872,128.8694,-26.19,86,99,5.97
371,Jamestown,42.097,-79.2353,9.23,92,90,3.44
372,São Filipe,14.8961,-24.4956,71.37,69,71,10.96
373,Bandarbeyla,9.4942,50.8122,77.58,68,9,22.79
374,Sinnamary,5.3833,-52.95,80.73,76,85,14.79
375,Utrera,37.1852,-5.7809,60.58,77,40,13.8
376,Hofn,64.2539,-15.2082,33.8,86,90,5.75
378,Chokurdakh,70.6333,147.9167,-11.24,86,5,10.36
381,Meulaboh,4.1363,96.1285,81.03,79,49,2.8
385,Kiri Buru,22.0833,85.35,63.79,29,0,0.76
386,Camacha,33.0833,-16.3333,64.4,77,20,13.8
387,Petropavlovka,50.6114,105.3196,7.74,90,0,2.33
388,Pinawa,50.1489,-95.8811,-36.42,83,50,5.88
390,Hasaki,35.7333,140.8333,35.17,44,20,10.36
391,Khatanga,71.9667,102.5,-20.43,82,0,14.16
394,College,64.8569,-147.8028,-34.02,79,1,6.91
395,Chengde,40.9725,117.9361,25.18,76,1,2.26
400,Talnakh,69.4865,88.3972,1.58,92,100,9.95
402,Kapaa,22.0752,-159.319,62.26,82,40,8.05
403,Havre-St-Pierre,50.2334,-63.5986,21.2,86,90,10.36
408,Jamestown,42.097,-79.2353,9.23,92,90,3.44
414,San Patricio,28.017,-97.5169,62.22,94,90,8.05
415,Miquelon,47.0975,-56.3814,30.09,100,90,35.68
419,Miasskoye,55.2784,61.8905,-4.0,71,75,20.13
420,Seoul,37.5683,126.9778,25.97,42,0,13.8
421,Rakkestad,59.4251,11.3454,25.52,59,0,10.36
422,Wau,7.7029,27.9953,99.5,9,100,3.51
427,Avera,33.194,-82.5271,33.67,89,1,3.44
429,Yumen,40.2833,97.2,32.5,71,79,7.56
431,Laguna,38.421,-121.4238,40.75,87,1,2.13
432,Yar-Sale,66.8333,70.8333,-15.29,87,78,6.93
434,George Town,5.4112,100.3354,84.78,74,40,4.61
436,George Town,5.4112,100.3354,84.78,74,40,4.61
437,Severo-Kuril'sk,50.6789,156.125,20.08,93,99,8.9
439,Longyearbyen,78.2186,15.6401,12.2,52,0,12.66
440,Nichinan,31.6,131.3667,46.4,42,20,19.57
445,Saint George,37.1041,-113.5841,33.8,40,1,1.41
446,Atikokan,48.7555,-91.6216,-33.79,83,59,5.3
447,Jamestown,42.097,-79.2353,9.23,92,90,3.44
448,Yellowknife,62.456,-114.3525,-38.2,74,20,14.97
450,Taoudenni,22.6783,-3.9836,75.88,18,0,7.0
451,Guerrero Negro,27.9769,-114.0611,53.01,88,0,2.59
453,Upernavik,72.7868,-56.1549,17.98,78,89,6.33
455,Altamont,42.2068,-121.7372,24.75,67,1,3.44
462,Tasiilaq,65.6145,-37.6368,23.0,54,93,13.8
